author;country;continent;year_of_publication;type;language
s. a. rice;United States of America;North America;2008;Corresponding;english
s. a. selim;Egypt;Africa;2009;Corresponding;english
s. a. woodin;United States of America;North America;2014;Corresponding;english
s. a. woodin;United States of America;North America;2011;Co-author;english
s. a. woodin;United States of America;North America;2016;Co-author;english
s. a. woodin;United States of America;North America;2008;Co-author;english
s. acik;Turkey;Asia;2010;Corresponding;english
s. acik;Turkey;Asia;2018;Corresponding;english
s. acik;Turkey;Asia;2020;Corresponding;english
s. acik;Turkey;Asia;2005;Corresponding;english
s. acik;Turkey;Asia;2017;Corresponding;english
s. acik;Turkey;Asia;2016;Co-author;english
s. albrecht;Germany;Europe;2006;Co-author;english
s. aliani;Italy;Europe;2019;Co-author;english
s. aliani;United States of America;North America;2003;Co-author;english
s. b. johnson;United States of America;North America;2011;Co-author;english
s. brault;United States of America;North America;2017;Co-author;english
s. breton;Canada;North America;2003;Co-author;english
s. e. humphris;United States of America;North America;2001;Co-author;english
s. f. dubois;France;Europe;2014;Co-author;english
s. ge;China;Asia;2012;Co-author;english
s. gromisz;Poland;Europe;2007;Co-author;english
s. herrando-perez;Spain;Europe;2001;Corresponding;english
s. hourdez;France;Europe;2010;Co-author;english
s. hourdez;France;Europe;2007;Co-author;english
s. hourdez;United States of America;North America;2003;Co-author;english
s. i. salazar-vallejo;Mexico;LAC;1986;Corresponding;english
s. i. salazar-vallejo;Mexico;LAC;1992;Corresponding;english
s. j. b. cooper;Australia;Oceania;2009;Co-author;english
s. j. jang;South Korea;Asia;2016;Co-author;english
s. j. song;South Korea;Asia;2014;Co-author;english
s. j. sorokin;Australia;Oceania;2018;Co-author;english
s. k. berke;United States of America;North America;2010;Corresponding;english
s. k. berke;United States of America;North America;2012;Corresponding;english
s. k. berke;United States of America;North America;2016;Co-author;english
s. k. sivadas;India;Asia;2016;Corresponding;english
s. karl;United States of America;North America;2008;Co-author;english
s. l. carney;United States of America;North America;2007;Co-author;english
s. l. gardiner;United States of America;North America;1975;Corresponding;english
s. l. grove;New Zealand;Oceania;1996;Co-author;english
s. lomiri;Italy;Europe;2011;Co-author;english
s. m. bybee;United States of America;North America;2010;Co-author;english
s. m. hardy;United States of America;North America;2011;Corresponding;english
s. m. hardy;United States of America;North America;2011;Co-author;english
s. mariani;Italy;Europe;1999;Co-author;english
s. n. brandao;Germany;Europe;2007;Co-author;english
s. ohta;Japan;Asia;1995;Co-author;english
s. olenin;Lithuania;Europe;2001;Co-author;english
s. pagola-carte;Spain;Europe;1999;Co-author;english
s. plouviez;France;Europe;2009;Corresponding;english
s. plouviez;France;Europe;2010;Co-author;english
s. r. gelder;United Kingdom;Europe;1974;Corresponding;english
s. r. mincks;United States of America;North America;2008;Co-author;english
s. r. mincks;United States of America;North America;2006;Co-author;english
s. s. nihei;Brazil;LAC;2006;Co-author;english
s. sakamoto;Japan;Asia;2017;Co-author;english
s. sedick;South Africa;Africa;2015;Co-author;english
s. t. ahyong;Australia;Oceania;2017;Corresponding;english
s. t. ahyong;Australia;Oceania;2000;Co-author;english
s. t. ahyong;Australia;Oceania;2018;Co-author;english
s. taboada;United Kingdom;Europe;2018;Co-author;english
s. thatje;United Kingdom;Europe;2009;Corresponding;english
s. villora-moreno;Spain;Europe;1997;Corresponding;english
s. w. schaeffer;United States of America;North America;2016;Co-author;english
s. w. schaeffer;United States of America;North America;2003;Co-author;english
s. y. gagaev;Russia;Europe;2006;Corresponding;english
t. b. robinson;South Africa;Africa;2012;Co-author;english
t. c. shirley;United States of America;North America;2014;Co-author;english
t. comtet;France;Europe;1998;Co-author;english
t. g. pillai;United Kingdom;Europe;2009;Corresponding;english
t. g. pillai;United Kingdom;Europe;2008;Corresponding;english
t. h. hsu;Taiwan;Asia;2013;Co-author;english
t. h. struck;Norway;Europe;2017;Corresponding;english
t. haag;Brazil;LAC;2016;Co-author;english
t. holthe;Norway;Europe;1978;Corresponding;english
t. holthe;Norway;Europe;1985;Co-author;english
t. j. hilbish;United States of America;North America;2011;Co-author;english
t. l. jenkins;United Kingdom;Europe;2018;Co-author;english
t. m. brown;Canada;North America;2011;Co-author;english
t. m. iliffe;United States of America;North America;2009;Co-author;english
t. m. shank;France;Europe;2009;Co-author;english
t. m. shank;United States of America;North America;2009;Co-author;english
t. m. shank;United States of America;North America;2007;Co-author;english
t. nishikawa;Japan;Asia;1984;Co-author;english
t. p. poe;United States of America;North America;1974;Corresponding;english
t. romeo;Italy;Europe;2016;Co-author;english
t. timm;Estonia;Europe;2008;Co-author;english
u. n. safriel;Israel;Asia;1982;Co-author;english
v. c. seixas;Brazil;LAC;2017;Corresponding;english
v. delgado-blas;Mexico;LAC;2008;Co-author;english
v. fernandez-rodriguez;Colombia;LAC;2016;Corresponding;english
v. fernandez-rodriguez;Colombia;LAC;2014;Co-author;english
v. grandi;Italy;Europe;2009;Co-author;english
v. h. delgado-blas;Mexico;LAC;2001;Corresponding;spanish
v. islas-villanueva;Mexico;LAC;2019;Co-author;english
v. j. cole;Australia;Oceania;2007;Corresponding;english
v. j. cole;South Africa;Africa;2010;Corresponding;english
v. l. syomin;Russia;Europe;2016;Corresponding;english
v. mamouridis;Spain;Europe;2014;Co-author;english
v. rousset;Sweden;Europe;2013;Co-author;english
v. s. kennedy;United States of America;North America;1985;Corresponding;english
v. solis-weiss;Mexico;LAC;2013;Corresponding;english
v. solis-weiss;Mexico;LAC;1999;Co-author;english
v. solis-weiss;Mexico;LAC;2013;Co-author;english
v. solis-weiss;Mexico;LAC;1992;Co-author;english
v. solis-weiss;Mexico;LAC;1997;Co-author;english
v. solis-weiss;Mexico;LAC;2000;Co-author;spanish
v. solis-weiss;Mexico;LAC;1994;Co-author;spanish
v. souto;Argentina;LAC;2010;Co-author;english
v. surugiu;Romania;Europe;2008;Corresponding;english
v. surugiu;Romania;Europe;2008;Co-author;english
v. tunnicliffe;Canada;North America;1998;Corresponding;english
v. tunnicliffe;Canada;North America;1996;Co-author;english
v. v. murina;Ukraine;Europe;2018;Corresponding;english
w. e. arntz;Germany;Europe;2005;Co-author;english
w. f. magalhaes;United States of America;North America;2017;Co-author;english
w. sterrer;United Kingdom;Europe;1973;Corresponding;english
w. westheide;Germany;Europe;1999;Co-author;english
w. westheide;Germany;Europe;2003;Co-author;english
w. westheide;Germany;Europe;1998;Co-author;english
x. du;China;Asia;2009;Corresponding;english
x. wu;China;Asia;2019;Co-author;english
y. davila;Mexico;LAC;2014;Co-author;spanish
y. del-pilar-ruso;Spain;Europe;2013;Co-author;english
y. deng;China;Asia;2009;Co-author;english
y. j. won;South Korea;Asia;2016;Corresponding;english
y. ning;China;Asia;2013;Co-author;english
y. schaeffer;Brazil;LAC;1972;Corresponding;portuguese
y. sun;Australia;Oceania;2000;Corresponding;english
y. sun;Australia;Oceania;2016;Corresponding;english
y. sun;Australia;Oceania;2018;Corresponding;english
y. sun;Australia;Oceania;2017;Corresponding;english
y. sun;Australia;Oceania;2017;Co-author;english
y. zhou;China;Asia;2019;Co-author;english
y. zhou;China;Asia;2018;Co-author;english
z. chen;China;Asia;2009;Co-author;english
z. ergen;Turkey;Asia;1999;Co-author;english
z. n. zeng;China;Asia;2013;Corresponding;english
z. zhan;China;Asia;2019;Co-author;english
